Tên sản phẩm,Giá (VNĐ),Thương hiệu,Đã bán,Điểm đánh giá,Số lượng đánh giá,Danh Mục,platform
Sữa Chống Nắng L’Oreal Bảo Vệ Phổ Rộng Sáng Da Mờ Thâm 50ml,248000,L'Oreal,166,5.0,3,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Garnier Vitamin C Làm Sáng Da 400ml,123000,Garnier,331,4.9,69,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Obagi Retinol 0.5% Trẻ Hóa Da, Ngừa Mụn 28g",1384000,Obagi,30,4.9,28,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Vichy Ngừa Lão Hóa, Săn Chắc Da Ban Ngày 50ml",825000,Vichy,49,5.0,22,Chăm sóc da mặt,Hasaki
Kem Dưỡng Olay Ban Ngày Sáng Da Chống Tia UV SPF15 50g,158000,Olay,254,4.9,57,Chăm sóc da mặt,Hasaki
Kem Chống Nắng Cell Fusion C Nâng Tông Da 50ml,335000,Cell Fusion C,116,4.9,21,Chăm sóc da mặt,Hasaki
Kem Chống Nắng Beplain Vật Lý Hỗ Trợ Kiềm Dầu Mịn Lì 50ml,251000,Beplain,154,4.9,25,Chăm sóc da mặt,Hasaki
Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 30ml,206000,9Wishes,185,4.9,36,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,170000,Cocoon,221,5.0,56,Chăm sóc da mặt,Hasaki
"Serum oh!oh! Dưỡng Sáng Da, Giảm Thâm Nám 30ml",566000,oh!oh!,66,5.0,28,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Eucerin Dịu Nhẹ Cho Da Nhạy Cảm 400ml,244000,Eucerin,151,4.9,47,Chăm sóc da mặt,Hasaki
"Mặt Nạ Caryophy Làm Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",22000,Caryophy,1700,5.0,34,Chăm sóc da mặt,Hasaki
Combo 10 Mặt Nạ BNBG Vitamin E Dưỡng Ẩm Da 30ml (Mới),160000,BNBG,225,4.9,11,Chăm sóc da mặt,Hasaki
Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,27000,Hotosu,1300,4.8,47,Chăm sóc da mặt,Hasaki
Mặt Nạ Nghệ Hưng Yên Cocoon Giúp Da Rạng Rỡ Mịn Màng 30ml,94000,Cocoon,381,4.9,35,Chăm sóc da mặt,Hasaki
Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g (Mới),363000,Anessa,98,4.8,15,Chăm sóc da mặt,Hasaki
[Mini] Combo 10 Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 30ml,229000,CeraVe,151,4.8,13,Chăm sóc da mặt,Hasaki
Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,368000,Tenamyd,91,4.8,35,Chăm sóc da mặt,Hasaki
Hộp 8 Miếng Mặt Nạ Naruko Tràm Trà Kiềm Dầu Giảm Mụn 26ml/M,199000,Naruko,168,4.9,263,Chăm sóc da mặt,Hasaki
"Kem Chống Nắng Caryophy Nâng Tone, Ngừa Mụn 50ml",307000,Caryophy,106,4.9,33,Chăm sóc da mặt,Hasaki
"Gel Dưỡng Megaduo Plus Giảm Mụn, Mờ Thâm 15g",130000,Gamma Chemicals,250,4.8,88,Chăm sóc da mặt,Hasaki
Gel Chống Nắng Anessa Dưỡng Ẩm Bảo Vệ Hoàn Hảo 90g (Mới),339000,Anessa,95,4.8,5,Chăm sóc da mặt,Hasaki
Serum Vichy Cải Thiện & Ngăn Ngừa Thâm Nám Đốm Nâu 30ml,838000,Vichy,39,4.9,8,Chăm sóc da mặt,Hasaki
Kem Chống Nắng Naris Cosmetics Dạng Gel Nâng Tone Da 80g,389000,Naris Cosmetics,83,4.9,92,Chăm sóc da mặt,Hasaki
Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 50ml,793000,Vichy,41,4.9,34,Chăm sóc da mặt,Hasaki
"Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",91000,Simple,347,4.8,129,Chăm sóc da mặt,Hasaki
Kem Dưỡng L'Oreal Sáng Mịn Mờ Thâm Nám Ban Ngày 50ml,263000,L'Oreal,119,4.9,20,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Chacott for Professionals 500ml,239000,Chacott,128,4.8,12,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Torriden Làm Dịu Mát, Dưỡng Ẩm, Sáng Bóng Da 100ml",257000,Torriden,118,5.0,6,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 125ml (Mới),125000,Cetaphil,239,4.8,41,Chăm sóc da mặt,Hasaki
Nước Hoa Hồng Caryophy Ngừa Mụn Kiềm Dầu Giảm Thâm 300ml,264000,Caryophy,113,4.8,19,Chăm sóc da mặt,Hasaki
"Combo 3 Hộp Mặt Nạ Colorkey Dưỡng Ẩm Làm Dịu, Sáng Da, Ngừa Mụn 10 Miếng/Hộp",234000,Colorkey,127,5.0,3,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 88ml,145000,CeraVe,204,4.9,115,Chăm sóc da mặt,Hasaki
"Serum Neogen Dermalogy Dưỡng Sáng Da, Mờ Thâm 32g",372000,Neogen Dermalogy,75,4.8,10,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Hada Labo Sáng Da Chuyên Sâu, Giảm Thâm Sạm 50g",162000,Hada Labo,170,4.8,74,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Tia'm Ốc Sên Làm Dịu & Phục Hồi Da 200ml,175000,TIA'M,157,4.9,14,Chăm sóc da mặt,Hasaki
Kem Chống Nắng innisfree Nâng Tông Kiềm Dầu 60ml (Mới),258000,innisfree,106,4.9,8,Chăm sóc da mặt,Hasaki
Kem Dưỡng Olay Collagen Peptide 24 Tái Tạo Da Căng Bóng 50g,375000,Olay,72,5.0,5,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang JMsolution Rau Má Cho Da Dầu Mụn 500ml,113000,JMsolution,236,4.9,14,Chăm sóc da mặt,Hasaki
Kem Dưỡng Olay Chiết Xuất Retinol24 Ngừa Lão Hóa Ban Đêm 50g,377000,Olay,71,5.0,3,Chăm sóc da mặt,Hasaki
Gel Tẩy Tế Bào Chết Caryophy Ngăn Ngừa Mụn 250ml,276000,Caryophy,96,4.9,11,Chăm sóc da mặt,Hasaki
Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,285000,Klairs,93,4.7,76,Chăm sóc da mặt,Hasaki
Tẩy Tế Bào Chết Rosette Thu Nhỏ Lỗ Chân Lông 180g,117000,Rosette,224,4.9,17,Chăm sóc da mặt,Hasaki
Kem Dưỡng Bioderma Giúp Se Khít Lỗ Chân Lông 30ml,351000,Bioderma,73,4.8,28,Chăm sóc da mặt,Hasaki
Kem Chống Nắng Skin1004 Nâng Tông Cho Da Nhạy Cảm SPF50+ 50ml,267000,Skin1004,96,5.0,3,Chăm sóc da mặt,Hasaki
"Kem Rửa Mặt Hada Labo Sạch Sâu, Dưỡng Sáng Da 80g",66000,Hada Labo,383,5.0,21,Chăm sóc da mặt,Hasaki
Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,233000,Klairs,109,4.8,147,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 236ml,240000,CeraVe,105,4.9,115,Chăm sóc da mặt,Hasaki
Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml,198000,Embryolisse,125,4.8,40,Chăm sóc da mặt,Hasaki
Hộp 10 Miếng Mặt Nạ Wonjin Phục Hồi Chuyên Sâu 30g/M,223000,WonJin,110,5.0,15,Chăm sóc da mặt,Hasaki
Dầu Tẩy Trang Cocoon Chiết Xuất Hoa Hồng 310ml,280000,Cocoon,88,4.9,13,Chăm sóc da mặt,Hasaki
Combo 4 Bông Tẩy Trang Ipek 150 Miếng,108000,Ipek Klasik,225,4.8,67,Chăm sóc da mặt,Hasaki
Combo 3 Hộp Bông Tẩy Trang Silcot Cơ Bản 82 Miếng,113000,Silcot,213,5.0,63,Chăm sóc da mặt,Hasaki
"Serum SVR Làm Giảm Mụn, Mờ Nám, Làm Mềm Mịn Da 30ml",502000,SVR,48,4.9,20,Chăm sóc da mặt,Hasaki
"Serum Angel's Liquid Dưỡng Sáng Da, Mờ Thâm 30ml",322000,Angel's Liquid,72,4.9,39,Chăm sóc da mặt,Hasaki
